basename,path,namespace,classname,fqcn,file_size_bytes,last_modified_iso,collision_type,recommendation,priority,estimated_effort_minutes
AIModelPerformanceTest.php,tests\AI\AIModelPerformanceTest.php,Tests\AI,AIModelPerformanceTest,Tests\AI\AIModelPerformanceTest,4096,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
AIModelPerformanceTest.php,tests\Unit\AI\AIModelPerformanceTest.php,Tests\Unit\AI,AIModelPerformanceTest,Tests\Unit\AI\AIModelPerformanceTest,32768,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
ExampleTest.php,tests\Browser\ExampleTest.php,Tests\Browser,ExampleTest,Tests\Browser\ExampleTest,1024,2025-09-17T11:00:00Z,No Collision,MERGE_TESTS,Medium,10
ExampleTest.php,tests\Feature\ExampleTest.php,Tests\Feature,ExampleTest,Tests\Feature\ExampleTest,2048,2025-09-17T11:00:00Z,No Collision,MERGE_TESTS,Medium,10
ExampleTest.php,tests\Unit\ExampleTest.php,Tests\Unit,ExampleTest,Tests\Unit\ExampleTest,1024,2025-09-17T11:00:00Z,No Collision,MERGE_TESTS,Medium,10
DataValidationTest.php,tests\Unit\DataAccuracy\DataValidationTest.php,Tests\Unit\DataAccuracy,DataValidationTest,Tests\Unit\DataAccuracy\DataValidationTest,8192,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
DataValidationTest.php,tests\Unit\DataQuality\DataValidationTest.php,Tests\Unit\DataQuality,DataValidationTest,Tests\Unit\DataQuality\DataValidationTest,8192,2025-09-17T11:00:00Z,No Collision,RENAME_FILE,High,5
AuthenticationTest.php,tests\Feature\AuthenticationTest.php,Tests\Feature,AuthenticationTest,Tests\Feature\AuthenticationTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
AuthenticationTest.php,tests\Unit\Security\AuthenticationTest.php,Tests\Unit\Security,AuthenticationTest,Tests\Unit\Security\AuthenticationTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
BrandControllerTest.php,tests\Feature\BrandControllerTest.php,Tests\Feature,BrandControllerTest,Tests\Feature\BrandControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
BrandControllerTest.php,tests\Unit\Controllers\BrandControllerTest.php,Tests\Unit\Controllers,BrandControllerTest,Tests\Unit\Controllers\BrandControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
CategoryControllerTest.php,tests\Feature\CategoryControllerTest.php,Tests\Feature,CategoryControllerTest,Tests\Feature\CategoryControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
CategoryControllerTest.php,tests\Unit\Controllers\CategoryControllerTest.php,Tests\Unit\Controllers,CategoryControllerTest,Tests\Unit\Controllers\CategoryControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
HomeControllerTest.php,tests\Feature\HomeControllerTest.php,Tests\Feature,HomeControllerTest,Tests\Feature\HomeControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
HomeControllerTest.php,tests\Unit\Controllers\HomeControllerTest.php,Tests\Unit\Controllers,HomeControllerTest,Tests\Unit\Controllers\HomeControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
ProductControllerTest.php,tests\Feature\ProductControllerTest.php,Tests\Feature,ProductControllerTest,Tests\Feature\ProductControllerTest,4096,2025-09-17T11:00:00Z,No Collision,NO_ACTION,Low,0
